,YEAR,BA_HGLW_JOBS,BB_LGLW_JOBS,BC_HGHW_JOBS,BD_LGHW_JOBS,QA_HGLW_JOBS,QB_LGLW_JOBS,QC_HGHW_JOBS,QD_LGHW_JOBS,Toll_A_peak,Toll_B_peak,Toll_C_peak,Toll_D_peak,February_sv,March_sv,April_sv,May_sv,June_sv,July_sv,August_sv,September_sv,October_sv,November_sv,December_sv,BrooklynBridge_cv,ManhattanBridge_cv,WilliamsburgBridge_cv,HenryHudsonBridge_cv,HughL.CareyTunnel_cv,QueensMidtownTunnel_cv,RFKBridge-BronxPlaza_cv,RFKBridge-ManhattanPlaza_cv,MTA_CorssingType
10,2030,988356,968522,1000115,978865,801770,788409,818994,800428,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2031,995457,972217,1007836,982972,807089,790706,824908,803010,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2032,1002799,975365,1015917,986834,812137,793347,830535,805728,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2033,1009998,978945,1023296,990404,817046,795889,836292,808739,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2034,1017132,982787,1031058,994009,822079,798222,842159,811348,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2035,1024556,986117,1039051,997890,827136,800822,847766,813980,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2036,1031731,989635,1047292,1001527,832305,803295,853631,816941,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2037,1038912,992957,1055333,1005597,838021,805674,859497,819754,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2038,1046076,996549,1063080,1009726,843537,808139,865186,822371,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2039,1053769,1000177,1070878,1013393,848692,810811,871324,825156,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2040,1061323,1003995,1078604,1017573,854084,813368,877555,827731,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2041,1068004,1008058,1086019,1022114,858915,815899,882671,830061,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2042,1074981,1012621,1093521,1026374,863637,818353,887296,832542,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2043,1082234,1016537,1100606,1030347,868089,821162,892593,835480,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2044,1088976,1020457,1108183,1034650,873101,823874,897631,838234,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2045,1095800,1024681,1115806,1038878,878295,826288,902699,841109,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2046,1102854,1028648,1123158,1042870,882813,829008,907927,843976,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2047,1109561,1032751,1130513,1047044,888065,831569,913270,846805,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2048,1116573,1036878,1138058,1051258,893339,834158,918605,849573,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2049,1123827,1040764,1145472,1054936,898274,837059,923980,852706,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2050,1130873,1044635,1153150,1059518,903337,839930,929098,855400,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2051,1137161,1048838,1159861,1063860,908246,842452,934216,858190,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2052,1143795,1052846,1166824,1067577,912931,845153,939008,860944,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2053,1150615,1056772,1173789,1071745,917477,848024,943802,863655,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2054,1157120,1060709,1180875,1076045,922357,850968,948878,866291,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2055,1163529,1064850,1188093,1080286,927428,853985,953857,869049,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2056,1170166,1068835,1195268,1084391,931995,856772,959014,871916,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2057,1176913,1073033,1202172,1088369,936723,859414,964025,874761,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2058,1183451,1076970,1209009,1092874,941381,862303,968872,877369,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2059,1190159,1081171,1216087,1097321,945991,864923,973789,879972,6.12,7.14,8.16,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
